Država;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: MARINKO DODIG                                        ;AKCIJA MLADIH - AM, Nositelj liste: DARKO KRNIÆ                                                    ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, JADRANSKA SOCIJALDEMOKRATSKA STRANKA HRVATSKE - JADRANSKI SOCIJALDEMOKRATI, DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENA STRANKA - ZS, HRVATSKA RADNIÈKA STRANKA - HRS, Nositelj liste: MATE BULJUBAŠIÆ;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: dr.sc. JOŠKO KOVAÈ, dipl.ing.                         ;DALMATINSKA LIBERALNA STRANKA - DLS, Nositelj liste: ANTE TEŠIJA;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: LUKA PODRUG, dipl. iur.                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, KRŠÆANSKA SOCIJALNA UNIJA - KSU, Nositelj liste: PETAR KAÆUNKO;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: STIPO GABRIÆ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: JOSIP JAKOVLJEVIÆ                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ANITA ÈUDINA, prof. dipl.sociolog;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: LJUBICA VRDOLJAK;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: IVAN NINIÆ;NEOVISNA LISTA, Nositelj liste: mr.sc. ÐULA RUŠINOVIÆ-SUNARA                                 ;NEOVISNA LISTA, Nositelj liste: TONÆI TADIÆ                                 ;NEOVISNA LISTA, Nositelj liste: JURICA TUCAK                                 ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: STANISLAV JELAÈA;ZELENA LISTA, Nositelj liste: IVICA SUMIÆ                                                         ;ZELENI HRVATSKE - ZELENI HR, Nositelj liste: LOVRO RUMORA;;
BOSNA I HERCEGOVINA;110;;5;5;5;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
BOSNA I HERCEGOVINA;111;;6;6;6;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;;
BOSNA I HERCEGOVINA;112;;3;3;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
BOSNA I HERCEGOVINA;113;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
BOSNA I HERCEGOVINA;114;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
BOSNA I HERCEGOVINA;115;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
BOSNA I HERCEGOVINA;116;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
BOSNA I HERCEGOVINA;117;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
BOSNA I HERCEGOVINA;118;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
BOSNA I HERCEGOVINA;119;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
BOSNA I HERCEGOVINA;120;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
BOSNA I HERCEGOVINA;121;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
BOSNA I HERCEGOVINA;122;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
BOSNA I HERCEGOVINA;123;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
BOSNA I HERCEGOVINA;124;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
BRAZIL;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
BRAZIL;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
BUGARSKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
CRNA GORA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
CRNA GORA;2;;6;6;6;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
CRNA GORA;3;;4;4;4;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
CRNA GORA;4;;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;;
ÈEŠKA REPUBLIKA;1;;16;16;16;0;0;0;1;0;0;1;0;0;3;0;1;0;0;0;0;0;1;0;0;3;0;6;0;0;0;;
ÈILE;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ÈILE;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ÈILE;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
DANSKA;1;;8;8;8;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;;
EGIPAT;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
FINSKA;1;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
FRANCUSKA;1;;76;76;76;0;0;0;0;0;0;0;0;1;49;1;6;4;1;1;0;0;0;0;0;2;1;9;1;0;0;;
FRANCUSKA;2;;5;5;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
FRANCUSKA;3;;15;15;15;0;0;0;0;0;0;0;0;0;11;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;;
GRÈKA;1;;4;4;4;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
INDIJA;1;;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;;
INDONEZIJA;1;;3;3;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;;
IRAN;1;;5;5;5;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;;
IRSKA;1;;8;8;8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;6;0;0;0;;
ITALIJA;1;;52;52;51;1;0;0;0;0;0;0;0;1;35;1;0;1;0;2;1;0;0;0;0;1;0;9;0;0;0;;
ITALIJA;2;;37;37;37;0;0;0;0;1;0;0;0;0;22;0;1;0;0;0;0;0;0;0;0;2;0;11;0;0;0;;
ITALIJA;3;;2;2;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;
IZRAEL;1;;5;5;5;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;;
JAPAN;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
JUŽNOAFRIÈKA REPUBLIKA;1;;20;20;20;0;0;0;0;2;0;0;0;0;11;0;2;2;0;0;0;0;0;0;0;0;0;3;0;0;0;;
KANADA;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
KANADA;2;;12;12;12;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
KANADA;3;;22;22;22;0;0;0;0;0;0;0;0;0;20;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;;
KANADA;4;;11;11;10;1;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
KANADA;5;;4;4;4;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
KANADA;6;;61;61;61;0;0;0;1;0;1;0;0;0;49;0;0;0;0;4;0;0;3;0;0;1;0;2;0;0;0;;
KANADA;7;;45;45;45;0;0;0;2;0;0;1;0;0;36;0;0;1;0;2;0;2;0;0;0;0;0;1;0;0;0;;
KANADA;8;;7;7;7;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
KANADA;9;;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
KINA;1;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
LIBIJSKA ARAP. DŽAM.;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
MAÐARSKA;1;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;;
MAÐARSKA;2;;3;3;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;;
MAKEDONIJA;1;;13;11;10;1;0;0;0;0;0;0;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;;
MALEZIJA;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
MAROKO;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
NIZOZEMSKA;1;;22;22;22;0;0;0;0;1;0;0;0;0;10;0;1;0;0;4;0;0;1;0;0;0;0;5;0;0;0;;
NORVEŠKA;1;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
NOVI ZELAND;1;;6;6;6;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;;
NJEMAÈKA;1;;59;59;57;2;0;0;0;1;0;0;0;0;39;1;1;0;0;5;0;0;1;0;0;2;0;4;0;2;1;;
NJEMAÈKA;2;;36;36;34;2;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;;
NJEMAÈKA;3;;71;71;70;1;0;1;0;0;0;0;0;0;56;0;1;1;0;3;0;0;2;1;0;0;0;5;0;0;0;;
NJEMAÈKA;4;;48;48;47;1;0;0;0;0;0;0;0;0;40;1;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;;
NJEMAÈKA;5;;21;21;21;0;1;0;0;0;0;1;0;1;17;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
NJEMAÈKA;6;;43;43;43;0;0;0;0;0;0;0;0;1;40;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;;
NJEMAÈKA;7;;63;63;63;0;0;0;1;0;0;0;0;2;50;0;0;0;0;6;2;0;0;0;0;0;1;1;0;0;0;;
NJEMAÈKA;8;;53;53;53;0;0;0;0;0;0;0;0;0;47;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;;
NJEMAÈKA;9;;53;53;52;1;0;0;0;0;0;0;0;2;46;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;;
NJEMAÈKA;10;;181;180;180;0;1;2;0;0;0;0;2;2;152;0;1;1;0;10;0;0;2;0;0;0;0;5;0;2;0;;
NJEMAÈKA;11;;163;163;161;2;0;0;1;0;1;0;0;2;131;1;2;5;0;12;1;0;2;0;0;1;0;2;0;0;0;;
NJEMAÈKA;12;;182;182;182;0;0;0;1;0;0;0;0;5;149;1;1;1;1;8;1;1;3;0;0;1;0;4;1;2;2;;
NJEMAÈKA;13;;122;122;122;0;1;1;0;0;0;0;0;0;101;0;0;1;0;6;0;1;5;1;0;1;0;4;0;0;0;;
NJEMAÈKA;14;;86;86;85;1;0;0;0;0;0;0;0;2;78;0;0;0;0;1;0;0;0;0;0;1;0;3;0;0;0;;
NJEMAÈKA;15;;93;92;92;0;0;0;0;0;0;1;0;1;83;0;0;0;0;3;0;0;0;0;0;1;0;3;0;0;0;;
NJEMAÈKA;16;;78;78;77;1;0;0;0;0;0;0;0;0;72;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;;
NJEMAÈKA;17;;84;84;83;1;0;0;0;0;0;0;0;0;74;0;0;2;0;2;0;0;0;0;0;1;0;4;0;0;0;;
NJEMAÈKA;18;;64;64;64;0;0;0;0;0;0;0;0;1;50;1;1;1;0;5;0;0;3;0;0;0;1;1;0;0;0;;
NJEMAÈKA;19;;49;49;48;1;0;0;1;0;0;0;0;1;43;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;;
NJEMAÈKA;20;;46;46;46;0;0;0;0;0;0;0;0;6;35;0;0;2;0;2;0;0;0;0;0;0;0;0;0;1;0;;
NJEMAÈKA;21;;64;64;64;0;0;0;0;0;0;0;0;0;58;0;0;0;0;3;0;0;1;0;0;2;0;0;0;0;0;;
NJEMAÈKA;22;;32;32;32;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;;
NJEMAÈKA;23;;30;30;28;2;0;0;0;0;0;0;0;0;27;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;
PERU;1;;5;5;5;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
POLJSKA;1;;3;3;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
PORTUGAL;1;;2;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
RUMUNJSKA;1;;6;6;5;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
RUMUNJSKA;2;;2;2;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
RUSKA FEDERACIJA;1;;13;13;13;0;0;1;0;0;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;;
SAD;1;;6;6;6;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
SAD;2;;8;8;8;0;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
SAD;3;;26;26;26;0;0;0;0;0;0;0;0;0;20;1;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;;
SAD;4;;22;22;22;0;0;0;0;1;0;0;0;0;13;0;0;0;0;0;1;0;0;0;0;2;0;5;0;0;0;;
SAD;5;;10;10;10;0;0;0;0;0;0;0;0;0;8;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;;
SAD;6;;36;36;36;0;0;0;1;0;0;0;0;0;21;0;1;0;0;2;1;0;0;0;0;0;0;10;0;0;0;;
SLOVAÈKA REPUBLIKA;1;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
SLOVENIJA;1;;18;18;18;0;0;0;0;0;0;0;0;0;7;0;3;0;0;0;0;0;0;0;0;1;0;7;0;0;0;;
SRBIJA;1;;15;15;15;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;9;0;0;0;;
SRBIJA;2;;8;8;7;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;;
SRBIJA;3;;9;9;8;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;1;0;3;0;0;0;;
SRBIJA;4;;9;9;9;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;;
SRBIJA;5;;5;5;5;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;;
SRBIJA;6;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
SRBIJA;7;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;;
SRBIJA;8;;5;5;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
SRBIJA;9;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
SRBIJA;10;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;;
SRBIJA;11;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
SRBIJA;12;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
SRBIJA;13;;5;5;5;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;;
SRBIJA;14;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
SRBIJA;15;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
ŠPANJOLSKA;1;;11;11;11;0;0;0;0;0;0;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;;
ŠPANJOLSKA;2;;9;9;9;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;;
ŠVEDSKA;1;;16;16;16;0;0;0;0;0;0;0;0;2;9;1;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;;
ŠVEDSKA;2;;7;7;7;0;0;0;0;0;0;0;0;0;3;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;;
ŠVEDSKA;3;;25;25;25;0;0;0;0;0;0;0;0;0;16;0;0;0;0;2;0;0;0;0;0;0;0;6;1;0;0;;
ŠVICARSKA;1;;30;30;30;0;0;0;0;0;0;0;0;0;21;0;0;0;0;5;0;0;0;0;0;3;0;1;0;0;0;;
ŠVICARSKA;2;;9;9;9;0;0;0;0;1;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ŠVICARSKA;3;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ŠVICARSKA;4;;52;52;52;0;0;0;0;0;0;1;0;0;44;0;0;0;1;2;0;0;2;0;0;0;0;2;0;0;0;;
ŠVICARSKA;5;;68;68;68;0;0;0;0;0;0;0;0;0;62;0;1;0;0;1;0;0;1;0;0;0;0;3;0;0;0;;
TURSKA;1;;2;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
TURSKA;2;;3;3;3;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
UKRAJINA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
VELIKA BRITANIJA;1;;30;30;30;0;0;0;0;0;0;0;0;1;12;0;1;0;0;3;0;0;0;0;0;1;0;12;0;0;0;;
VENECUELA;1;;2;2;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
UKUPNO INOZEMSTVO ZA X. IJ.;;;3741;3736;3708;28;4;5;14;8;7;14;8;41;2945;13;40;42;5;168;12;5;41;8;6;55;4;248;5;7;3;;
