Država;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: DOROTEA PAVLETIÆ, dipl.oec.                                        ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASMINKA PETTER, mag.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: JOSIP MILJAK                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: ZDRAVKO KELIÆ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: JAKOB MATOVINOVIÆ                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB, Nositelj liste: BRANIMIR GLAVAŠ, dipl.iur.                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ANDRIJA RUŽEK;HRVATSKI SOCIJALDEMOKRATI - HSD, LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, Nositelj liste: JERKO ZOVAK;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: BENJAMIN TOLIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: VENKO BANOVIÆ;;;;;;;;
CRNA GORA;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
CRNA GORA;4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
ÈEŠKA REPUBLIKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
ÈILE;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
ÈILE;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
ÈILE;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
DANSKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
EGIPAT;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
FINSKA;1;;18;18;18;0;1;0;0;1;0;0;0;3;2;1;0;6;0;1;0;0;0;3;0;;;;;;;;
FRANCUSKA;1;;16;16;16;0;0;0;0;0;1;0;0;14;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
FRANCUSKA;2;;6;6;6;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;;;;;;;;
FRANCUSKA;3;;3;3;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;;;;;;;;
GRÈKA;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
INDIJA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
INDONEZIJA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
IRAN;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
IRSKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
ITALIJA;1;;13;13;12;1;0;0;0;0;0;0;0;6;0;1;0;1;0;2;0;0;0;2;0;;;;;;;;
ITALIJA;2;;4;4;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
ITALIJA;3;;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;;;;;;;;
IZRAEL;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
JAPAN;1;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
JUŽNOAFRIÈKA REPUBLIKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
KANADA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
KANADA;2;;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;;;;;;;;
KANADA;3;;7;7;7;0;0;0;0;0;0;0;1;5;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;
KANADA;4;;5;5;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
KANADA;5;;2;2;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;
KANADA;6;;18;18;18;0;0;0;0;0;0;0;0;11;0;0;1;2;0;3;1;0;0;0;0;;;;;;;;
KANADA;7;;21;21;21;0;0;0;0;0;0;1;0;17;0;1;0;1;0;1;0;0;0;0;0;;;;;;;;
KANADA;8;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
KANADA;9;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;
KINA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
LIBIJSKA ARAP. DŽAM.;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
MAÐARSKA;1;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
MAÐARSKA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
MAKEDONIJA;1;;6;6;6;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
MALEZIJA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
MAROKO;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;;
NIZOZEMSKA;1;;5;5;5;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;;;;;;;;
NORVEŠKA;1;;16;16;16;0;0;0;0;0;0;0;0;14;0;0;0;0;0;1;0;0;0;1;0;;;;;;;;
NOVI ZELAND;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
NJEMAÈKA;1;;24;24;24;0;0;0;1;0;0;0;0;11;1;0;0;3;0;4;0;0;0;4;0;;;;;;;;
NJEMAÈKA;2;;25;25;25;0;0;0;0;0;0;0;0;15;3;0;0;0;0;3;1;0;0;3;0;;;;;;;;
NJEMAÈKA;3;;21;21;21;0;0;0;0;1;0;0;0;10;1;2;0;0;1;3;0;0;0;3;0;;;;;;;;
NJEMAÈKA;4;;45;45;45;0;0;0;0;0;0;0;0;34;1;5;1;2;0;2;0;0;0;0;0;;;;;;;;
NJEMAÈKA;5;;27;27;27;0;0;2;0;0;1;0;0;20;1;0;0;3;0;0;0;0;0;0;0;;;;;;;;
NJEMAÈKA;6;;35;35;35;0;0;0;0;0;0;0;2;26;0;0;0;4;0;1;0;0;0;2;0;;;;;;;;
NJEMAÈKA;7;;25;25;25;0;0;0;0;0;0;0;0;22;0;0;0;0;1;0;0;0;0;2;0;;;;;;;;
NJEMAÈKA;8;;21;21;21;0;0;1;0;0;1;0;0;15;0;0;0;3;0;0;0;0;0;1;0;;;;;;;;
NJEMAÈKA;9;;22;22;22;0;0;0;0;0;0;0;0;16;0;0;0;3;0;1;0;0;0;2;0;;;;;;;;
NJEMAÈKA;10;;57;57;55;2;0;0;0;0;1;0;0;41;3;0;0;0;0;2;0;0;0;8;0;;;;;;;;
NJEMAÈKA;11;;46;46;46;0;0;0;0;0;0;0;0;32;0;1;1;4;0;0;0;1;0;7;0;;;;;;;;
NJEMAÈKA;12;;45;44;44;0;0;0;0;0;0;0;0;33;2;2;1;2;0;1;0;0;0;3;0;;;;;;;;
NJEMAÈKA;13;;88;88;88;0;0;0;1;0;7;0;0;51;1;1;1;14;0;6;0;1;0;5;0;;;;;;;;
NJEMAÈKA;14;;68;68;68;0;0;0;0;0;1;0;0;46;2;0;1;4;2;7;2;0;0;3;0;;;;;;;;
NJEMAÈKA;15;;61;61;60;1;0;0;0;0;0;0;0;49;0;2;0;4;0;1;0;0;0;4;0;;;;;;;;
NJEMAÈKA;16;;33;33;33;0;0;0;0;0;0;0;1;18;0;2;0;2;1;1;0;0;0;8;0;;;;;;;;
NJEMAÈKA;17;;47;47;47;0;0;0;0;0;0;0;0;35;1;1;0;1;0;2;0;0;0;7;0;;;;;;;;
NJEMAÈKA;18;;23;22;22;0;0;0;0;0;1;0;0;17;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;
NJEMAÈKA;19;;31;31;31;0;0;0;0;0;0;0;0;26;0;0;0;4;0;0;0;0;0;1;0;;;;;;;;
NJEMAÈKA;20;;36;36;36;0;0;0;0;0;0;0;0;22;3;1;0;4;0;3;0;0;0;3;0;;;;;;;;
NJEMAÈKA;21;;26;26;26;0;0;0;0;0;0;0;0;20;1;0;0;0;0;0;0;0;2;3;0;;;;;;;;
NJEMAÈKA;22;;22;22;22;0;0;0;0;0;1;0;1;15;0;0;0;3;0;1;0;0;0;1;0;;;;;;;;
NJEMAÈKA;23;;14;14;14;0;0;0;0;0;0;0;0;10;0;1;0;0;0;1;0;0;0;2;0;;;;;;;;
PERU;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
POLJSKA;1;;3;3;3;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;
PORTUGAL;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
RUMUNJSKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
RUMUNJSKA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
RUSKA FEDERACIJA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
SAD;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
SAD;2;;11;11;9;2;0;0;0;0;0;0;0;7;0;0;0;0;0;1;0;0;1;0;0;;;;;;;;
SAD;3;;12;12;12;0;0;0;0;0;0;0;0;5;0;1;0;2;0;4;0;0;0;0;0;;;;;;;;
SAD;4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
SAD;5;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
SAD;6;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
SLOVAÈKA REPUBLIKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
SLOVENIJA;1;;3;3;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
SRBIJA;1;;4;4;4;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
SRBIJA;2;;11;11;6;5;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;3;1;;;;;;;;
SRBIJA;3;;11;11;8;3;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;4;1;;;;;;;;
SRBIJA;4;;3;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;;;;;;;;
SRBIJA;5;;9;9;9;0;0;0;0;0;2;0;0;3;1;0;0;0;0;0;0;0;0;3;0;;;;;;;;
SRBIJA;6;;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;;;;;;;;
SRBIJA;7;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
SRBIJA;8;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
SRBIJA;9;;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
SRBIJA;10;;5;5;5;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;2;0;;;;;;;;
SRBIJA;11;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
SRBIJA;12;;4;4;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
SRBIJA;13;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
SRBIJA;14;;4;4;3;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;;;;;;;;
SRBIJA;15;;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
ŠPANJOLSKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
ŠPANJOLSKA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
ŠVEDSKA;1;;3;3;3;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;;;;;;;;
ŠVEDSKA;2;;6;6;6;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;
ŠVEDSKA;3;;8;8;8;0;0;0;0;0;0;0;1;4;0;0;0;1;0;0;0;0;0;2;0;;;;;;;;
ŠVICARSKA;1;;55;55;55;0;0;0;0;0;1;0;0;39;2;0;0;5;0;2;0;0;0;6;0;;;;;;;;
ŠVICARSKA;2;;12;12;12;0;0;0;0;0;0;0;0;9;0;2;1;0;0;0;0;0;0;0;0;;;;;;;;
ŠVICARSKA;3;;4;4;4;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;
ŠVICARSKA;4;;58;58;58;0;0;0;0;0;1;0;0;46;0;5;0;1;0;3;0;0;0;2;0;;;;;;;;
ŠVICARSKA;5;;61;61;61;0;0;0;0;1;1;0;0;44;1;0;0;6;0;2;0;0;0;4;2;;;;;;;;
TURSKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
TURSKA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
UKRAJINA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
VELIKA BRITANIJA;1;;7;7;7;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
VENECUELA;1;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
UKUPNO INOZEMSTVO ZA V. IJ.;;;1992;1990;1969;21;1;5;6;7;27;2;12;1433;43;40;9;122;9;79;4;4;5;151;10;;;;;;;;
